23-6-2021 21:02:54 - Ch=3 size=194 tt=20:07:06.172 x=336 Q.f=65520 Q.v=87
23-6-2021 21:02:54 - Ch=3 size=168 tt=20:07:06.172 x=448 Q.f=65520 Q.v=87
23-6-2021 21:02:54 - Ch=3 size=182 tt=20:07:06.172 x=560 Q.f=65520 Q.v=87
23-6-2021 21:02:54 - Ch=3 size=184 tt=20:07:06.172 x=672 Q.f=65520 Q.v=87
23-6-2021 21:02:54 - Ch=3 size=186 tt=20:07:06.172 x=784 Q.f=65520 Q.v=87
23-6-2021 21:02:54 - Ch=3 size=258 tt=20:07:06.172 x=896 Q.f=65520 Q.v=87
23-6-2021 21:02:54 - Ch=3 size=372 tt=20:07:06.172 x=1008 Q.f=65520 Q.v=87
23-6-2021 21:02:54 - Ch=3 size=218 tt=20:07:06.172 x=1120 Q.f=65520 Q.v=87
23-6-2021 21:02:54 - Ch=3 size=240 tt=20:07:06.172 x=1232 Q.f=65520 Q.v=87
23-6-2021 21:02:54 - Ch=3 size=232 tt=20:07:06.172 x=1344 Q.f=65520 Q.v=87
23-6-2021 21:02:54 - Ch=3 size=286 tt=20:07:06.172 x=1456 Q.f=65520 Q.v=87
23-6-2021 21:02:55 -  count=14 step=1 time=72427400 y=792 y_last=792
23-6-2021 21:02:55 - Ch=3 size=340 tt=20:07:07.400 x=0 Q.f=65520 Q.v=95
23-6-2021 21:02:55 - Ch=3 size=336 tt=20:07:07.400 x=112 Q.f=65520 Q.v=95
23-6-2021 21:02:55 - Ch=3 size=364 tt=20:07:07.400 x=224 Q.f=65520 Q.v=95
23-6-2021 21:02:55 - Ch=3 size=298 tt=20:07:07.400 x=336 Q.f=65520 Q.v=94
23-6-2021 21:02:55 - Ch=3 size=266 tt=20:07:07.400 x=448 Q.f=65520 Q.v=93
23-6-2021 21:02:55 - Ch=3 size=270 tt=20:07:07.400 x=560 Q.f=65520 Q.v=92
23-6-2021 21:02:55 - Ch=3 size=252 tt=20:07:07.400 x=672 Q.f=65520 Q.v=91
23-6-2021 21:02:55 - Ch=3 size=210 tt=20:07:07.400 x=784 Q.f=65520 Q.v=90
23-6-2021 21:02:55 - Ch=3 size=234 tt=20:07:07.400 x=896 Q.f=65520 Q.v=89
23-6-2021 21:02:55 - Ch=3 size=378 tt=20:07:07.400 x=1008 Q.f=65520 Q.v=88
23-6-2021 21:02:55 - Ch=3 size=240 tt=20:07:07.400 x=1120 Q.f=65520 Q.v=87
23-6-2021 21:02:55 - Ch=3 size=226 tt=20:07:07.400 x=1232 Q.f=65520 Q.v=86
23-6-2021 21:02:55 - Ch=3 size=192 tt=20:07:07.400 x=1344 Q.f=65520 Q.v=85
23-6-2021 21:02:55 - Ch=3 size=252 tt=20:07:07.400 x=1456 Q.f=65520 Q.v=84
23-6-2021 21:02:55 -  count=14 step=1 time=72428632 y=800 y_last=800
23-6-2021 21:02:55 - Ch=3 size=570 tt=20:07:08.632 x=0 Q.f=65520 Q.v=99
23-6-2021 21:02:55 - Ch=3 size=488 tt=20:07:08.632 x=112 Q.f=65520 Q.v=98
23-6-2021 21:02:55 - Ch=3 size=446 tt=20:07:08.632 x=224 Q.f=65520 Q.v=97
23-6-2021 21:02:55 - Ch=3 size=386 tt=20:07:08.632 x=336 Q.f=65520 Q.v=96
23-6-2021 21:02:55 - Ch=3 size=316 tt=20:07:08.632 x=448 Q.f=65520 Q.v=95
23-6-2021 21:02:55 - Ch=3 size=340 tt=20:07:08.632 x=560 Q.f=65520 Q.v=94
23-6-2021 21:02:55 - Ch=3 size=300 tt=20:07:08.632 x=672 Q.f=65520 Q.v=93
23-6-2021 21:02:55 - Ch=3 size=248 tt=20:07:08.632 x=784 Q.f=65520 Q.v=92
23-6-2021 21:02:55 - Ch=3 size=244 tt=20:07:08.632 x=896 Q.f=65520 Q.v=91
23-6-2021 21:02:55 - Ch=3 size=384 tt=20:07:08.632 x=1008 Q.f=65520 Q.v=90
23-6-2021 21:02:55 - Ch=3 size=252 tt=20:07:08.632 x=1120 Q.f=65520 Q.v=89
23-6-2021 21:02:55 - Ch=3 size=236 tt=20:07:08.632 x=1232 Q.f=65520 Q.v=88
23-6-2021 21:02:55 - Ch=3 size=252 tt=20:07:08.632 x=1344 Q.f=65520 Q.v=87
23-6-2021 21:02:55 - Ch=3 size=266 tt=20:07:08.632 x=1456 Q.f=65520 Q.v=86
23-6-2021 21:02:55 -  count=14 step=1 time=72429864 y=808 y_last=808
23-6-2021 21:02:55 - Ch=3 size=182 tt=20:07:09.864 x=0 Q.f=65520 Q.v=82
23-6-2021 21:02:55 - Ch=3 size=202 tt=20:07:09.864 x=112 Q.f=65520 Q.v=84
23-6-2021 21:02:55 - Ch=3 size=208 tt=20:07:09.864 x=224 Q.f=65520 Q.v=86
23-6-2021 21:02:55 - Ch=3 size=200 tt=20:07:09.864 x=336 Q.f=65520 Q.v=88
23-6-2021 21:02:55 - Ch=3 size=216 tt=20:07:09.864 x=448 Q.f=65520 Q.v=90
23-6-2021 21:02:55 - Ch=3 size=268 tt=20:07:09.864 x=560 Q.f=65520 Q.v=92
23-6-2021 21:02:55 - Ch=3 size=324 tt=20:07:09.864 x=672 Q.f=65520 Q.v=94
23-6-2021 21:02:55 - Ch=3 size=400 tt=20:07:09.864 x=784 Q.f=65520 Q.v=96
23-6-2021 21:02:55 - Ch=3 size=472 tt=20:07:09.864 x=896 Q.f=65520 Q.v=98
23-6-2021 21:02:55 - Ch=3 size=686 tt=20:07:09.864 x=1008 Q.f=65520 Q.v=98
23-6-2021 21:02:55 - Ch=3 size=526 tt=20:07:09.864 x=1120 Q.f=65520 Q.v=98
23-6-2021 21:02:55 - Ch=3 size=518 tt=20:07:09.864 x=1232 Q.f=65520 Q.v=98
23-6-2021 21:02:55 - Ch=3 size=610 tt=20:07:09.864 x=1344 Q.f=65520 Q.v=98
23-6-2021 21:02:55 - Ch=3 size=530 tt=20:07:09.864 x=1456 Q.f=65520 Q.v=97
23-6-2021 21:02:55 -  count=14 step=1 time=72431096 y=816 y_last=816
23-6-2021 21:02:55 - Ch=3 size=174 tt=20:07:11.096 x=0 Q.f=65520 Q.v=84
23-6-2021 21:02:55 - Ch=3 size=194 tt=20:07:11.096 x=112 Q.f=65520 Q.v=86
23-6-2021 21:02:55 - Ch=3 size=210 tt=20:07:11.096 x=224 Q.f=65520 Q.v=88
23-6-2021 21:02:55 - Ch=3 size=230 tt=20:07:11.096 x=336 Q.f=65520 Q.v=90
23-6-2021 21:02:55 - Ch=3 size=228 tt=20:07:11.096 x=448 Q.f=65520 Q.v=92
23-6-2021 21:02:55 - Ch=3 size=308 tt=20:07:11.096 x=560 Q.f=65520 Q.v=94
23-6-2021 21:02:55 - Ch=3 size=320 tt=20:07:11.096 x=672 Q.f=65520 Q.v=94
23-6-2021 21:02:55 - Ch=3 size=338 tt=20:07:11.096 x=784 Q.f=65520 Q.v=94
23-6-2021 21:02:55 - Ch=3 size=312 tt=20:07:11.096 x=896 Q.f=65520 Q.v=94
23-6-2021 21:02:55 - Ch=3 size=506 tt=20:07:11.096 x=1008 Q.f=65520 Q.v=94
23-6-2021 21:02:55 - Ch=3 size=376 tt=20:07:11.096 x=1120 Q.f=65520 Q.v=94
23-6-2021 21:02:55 - Ch=3 size=374 tt=20:07:11.096 x=1232 Q.f=65520 Q.v=94
23-6-2021 21:02:55 - Ch=3 size=402 tt=20:07:11.096 x=1344 Q.f=65520 Q.v=94
23-6-2021 21:02:55 - Ch=3 size=386 tt=20:07:11.096 x=1456 Q.f=65520 Q.v=94
23-6-2021 21:02:55 -  count=14 step=1 time=72432324 y=824 y_last=824
23-6-2021 21:02:55 - Ch=3 size=204 tt=20:07:12.324 x=0 Q.f=65520 Q.v=90
23-6-2021 21:02:55 - Ch=3 size=254 tt=20:07:12.324 x=112 Q.f=65520 Q.v=90
23-6-2021 21:02:55 - Ch=3 size=240 tt=20:07:12.324 x=224 Q.f=65520 Q.v=90
23-6-2021 21:02:55 - Ch=3 size=224 tt=20:07:12.324 x=336 Q.f=65520 Q.v=90
23-6-2021 21:02:55 - Ch=3 size=200 tt=20:07:12.324 x=448 Q.f=65520 Q.v=90
23-6-2021 21:02:55 - Ch=3 size=208 tt=20:07:12.324 x=560 Q.f=65520 Q.v=90
23-6-2021 21:02:55 - Ch=3 size=238 tt=20:07:12.324 x=672 Q.f=65520 Q.v=90
23-6-2021 21:02:55 - Ch=3 size=268 tt=20:07:12.324 x=784 Q.f=65520 Q.v=90
23-6-2021 21:02:55 - Ch=3 size=210 tt=20:07:12.324 x=896 Q.f=65520 Q.v=90
23-6-2021 21:02:55 - Ch=3 size=400 tt=20:07:12.324 x=1008 Q.f=65520 Q.v=90
23-6-2021 21:02:55 - Ch=3 size=280 tt=20:07:12.324 x=1120 Q.f=65520 Q.v=90
23-6-2021 21:02:55 - Ch=3 size=314 tt=20:07:12.324 x=1232 Q.f=65520 Q.v=90
23-6-2021 21:02:55 - Ch=3 size=324 tt=20:07:12.324 x=1344 Q.f=65520 Q.v=90
23-6-2021 21:02:55 - Ch=3 size=310 tt=20:07:12.324 x=1456 Q.f=65520 Q.v=90
23-6-2021 21:02:55 -  count=14 step=1 time=72433556 y=832 y_last=832
23-6-2021 21:02:55 - Ch=3 size=356 tt=20:07:13.556 x=0 Q.f=65520 Q.v=96
23-6-2021 21:02:55 - Ch=3 size=380 tt=20:07:13.556 x=112 Q.f=65520 Q.v=95
23-6-2021 21:02:55 - Ch=3 size=316 tt=20:07:13.556 x=224 Q.f=65520 Q.v=94
23-6-2021 21:02:55 - Ch=3 size=302 tt=20:07:13.556 x=336 Q.f=65520 Q.v=93
23-6-2021 21:02:55 - Ch=3 size=218 tt=20:07:13.556 x=448 Q.f=65520 Q.v=92
23-6-2021 21:02:55 - Ch=3 size=236 tt=20:07:13.556 x=560 Q.f=65520 Q.v=91
